,Broad-tailed Hummingbird,Colibri à queue large,Selasphorus platycercus,BTHU,1
,Bumblebee Hummingbird,Colibri héloïse,Selasphorus heloisa,BUHU,5
,Broad-billed Hummingbird,Colibri circé,Cynanthus latirostris,BBIH,2
,White-eared Hummingbird,Saphir à oreilles blanches,Basilinna leucotis,WEHU,3
,Xantus's Hummingbird,Saphir de Xantus,Basilinna xantusii,XAHU,5
,Violet-crowned Hummingbird,Ariane à couronne violette,Leucolia violiceps,VCHU,2
,Berylline Hummingbird,Ariane béryl,Saucerottia beryllina,BEHU,3
,Cinnamon Hummingbird,Ariane cannelle,Amazilia rutila,CIHU,5
,Buff-bellied Hummingbird,Ariane du Yucatan,Amazilia yucatanensis,BBEH,2
"Rails, Gallinules, and Coots (Rallidae)",,,,,
,Paint-billed Crake,Râle à bec peint,Neocrex erythrops,PBCR,5
,Spotted Rail,Râle tacheté,Pardirallus maculatus,SPRA,5
,Rufous-necked Wood-Rail,Râle à cou roux,Aramides axillaris,RNWR,5
,Ridgway's Rail,Râle de Californie,Rallus obsoletus,RIRA,2
,Clapper Rail,Râle tapageur,Rallus crepitans,CLRA,1
,King Rail,Râle élégant,Rallus elegans,KIRA,1
,Virginia Rail,Râle de Virginie,Rallus limicola,VIRA,1
,Corn Crake,Râle des genêts,Crex crex,CORC,4
,Sora,Marouette de Caroline,Porzana carolina,SORA,1
,Common Gallinule,Gallinule d'Amérique,Gallinula galeata,COGA,1
,Common Moorhen,Gallinule poule-d’eau,Gallinula chloropus,COMO,5
,Eurasian Coot,Foulque macroule,Fulica atra,EUCO,5
,Hawaiian Coot,Foulque des Hawaï,Fulica alai,HACO,2
,American Coot,Foulque d'Amérique,Fulica americana,AMCO,1
,Purple Gallinule,Talève violacée,Porphyrio martinicus,PUGA,1
,Purple Swamphen,Talève sultane,Porphyrio porphyrio,PUSW,2
,Yellow Rail,Râle jaune,Coturnicops noveboracensis,YERA,2
,Black Rail,Râle noir,Laterallus jamaicensis,BLRA,2
,Laysan Rail,Marouette de Laysan,Zapornia palmeri,LARA,6
,Hawaiian Rail,Marouette des Hawaï,Zapornia sandwichensis,HARA,6
Sungrebes (Heliornithidae),,,,,
,Sungrebe,Grébifoulque d'Amérique,Heliornis fulica,SUNG,5
Limpkins (Aramidae),,,,,
,Limpkin,Courlan brun,Aramus guarauna,LIMP,2
Cranes (Gruidae),,,,,
,Sandhill Crane,Grue du Canada,Antigone canadensis,SACR,1
,Common Crane,Grue cendrée,Grus grus,CCRA,4
,Hooded Crane,Grue à capuchon,Grus monacha,HOCR,5
,Whooping Crane,Grue blanche,Grus americana,WHCR,2
Thick-knees (Burhinidae),,,,,
,Double-striped Thick-knee,Oedicnème bistrié,Burhinus bistriatus,DSTK,5
Stilts and Avocets (Recurvirostridae),,,,,
,Black-winged Stilt,Échasse blanche,Himantopus himantopus,BWST,5
,Black-necked Stilt,Échasse d'Amérique,Himantopus mexicanus,BNST,1
,American Avocet,Avocette d'Amérique,Recurvirostra americana,AMAV,1
Oystercatchers (Haematopodidae),,,,,
,Eurasian Oystercatcher,Huîtrier pie,Haematopus ostralegus,EUOY,5
,American Oystercatcher,Huîtrier d'Amérique,Haematopus palliatus,AMOY,1
,Black Oystercatcher,Huîtrier de Bachman,Haematopus bachmani,BLOY,1
Lapwings and Plovers (Charadriidae),,,,,
,Northern Lapwing,Vanneau huppé,Vanellus vanellus,NOLA,4
,Black-bellied Plover,Pluvier argenté,Pluvialis squatarola,BBPL,1
,European Golden-Plover,Pluvier doré,Pluvialis apricaria,EUGP,4
,American Golden-Plover,Pluvier bronzé,Pluvialis dominica,AMGP,1
,Pacific Golden-Plover,Pluvier fauve,Pluvialis fulva,PAGP,2
,Eurasian Dotterel,Pluvier guignard,Charadrius morinellus,EUDO,4
,Killdeer,Pluvier kildir,Charadrius vociferus,KILL,1
,Common Ringed Plover,Pluvier grand-gravelot,Charadrius hiaticula,CRPL,3
,Semipalmated Plover,Pluvier semipalmé,Charadrius semipalmatus,SEPL,1
,Piping Plover,Pluvier siffleur,Charadrius melodus,PIPL,2
,Little Ringed Plover,Pluvier petit-gravelot,Charadrius dubius,LRPL,5
,Lesser Sand-Plover,Pluvier de Mongolie,Charadrius mongolus,LSAP,3
,Greater Sand-Plover,Pluvier de Leschenault,Charadrius leschenaultii,GSAP,5
,Wilson's Plover,Pluvier de Wilson,Charadrius wilsonia,WIPL,1
,Collared Plover,Pluvier de d'Azara,Charadrius collaris,COPL,5
,Mountain Plover,Pluvier montagnard,Charadrius montanus,MOPL,2
,Snowy Plover,Pluvier neigeux,Charadrius nivosus,SNPL,1
Jacanas (Jacanidae),,,,,
,Northern Jacana,Jacana du Mexique,Jacana spinosa,NOJA,4
"Sandpipers, Phalaropes, and Allies (Scolopacidae)",,,,,
,Upland Sandpiper,Maubèche des champs,Bartramia longicauda,UPSA,1
,Bristle-thighed Curlew,Courlis d'Alaska,Numenius tahitiensis,BTCU,2
,Whimbrel,Courlis corlieu,Numenius phaeopus,WHIM,1
,Little Curlew,Courlis nain,Numenius minutus,LICU,5
,Eskimo Curlew,Courlis esquimau,Numenius borealis,ESCU,6
,Long-billed Curlew,Courlis à long bec,Numenius americanus,LBCU,1
,Far Eastern Curlew,Courlis de Sibérie,Numenius madagascariensis,FECU,4
,Slender-billed Curlew,Courlis à bec grêle,Numenius tenuirostris,SBCU,5
,Eurasian Curlew,Courlis cendré,Numenius arquata,EUCU,5
,Bar-tailed Godwit,Barge rousse,Limosa lapponica,BTGO,2
,Black-tailed Godwit,Barge à queue noire,Limosa limosa,BLTG,3
,Hudsonian Godwit,Barge hudsonienne,Limosa haemastica,HUGO,1
,Marbled Godwit,Barge marbrée,Limosa fedoa,MAGO,1
,Ruddy Turnstone,Tournepierre à collier,Arenaria interpres,RUTU,1
,Black Turnstone,Tournepierre noir,Arenaria melanocephala,BLTU,1
,Great Knot,Bécasseau de l'Anadyr,Calidris tenuirostris,GRKN,4
,Red Knot,Bécasseau maubèche,Calidris canutus,REKN,1
,Surfbird,Bécasseau du ressac,Calidris virgata,SURF,1
,Ruff,Combattant varié,Calidris pugnax,RUFF,3
,Broad-billed Sandpiper,Bécasseau falcinelle,Calidris falcinellus,BBIS,4
,Sharp-tailed Sandpiper,Bécasseau à queue pointue,Calidris acuminata,SPTS,3
,Stilt Sandpiper,Bécasseau à échasses,Calidris himantopus,STSA,1
,Curlew Sandpiper,Bécasseau cocorli,Calidris ferruginea,CUSA,3
,Temminck's Stint,Bécasseau de Temminck,Calidris temminckii,TEST,3
,Long-toed Stint,Bécasseau à longs doigts,Calidris subminuta,LTST,3
,Spoon-billed Sandpiper,Bécasseau spatule,Calidris pygmea,SBSA,4
,Red-necked Stint,Bécasseau à col roux,Calidris ruficollis,RNST,3
,Sanderling,Bécasseau sanderling,Calidris alba,SAND,1
,Dunlin,Bécasseau variable,Calidris alpina,DUNL,1
,Rock Sandpiper,Bécasseau des Aléoutiennes,Calidris ptilocnemis,ROSA,2
,Purple Sandpiper,Bécasseau violet,Calidris maritima,PUSA,1
,Baird's Sandpiper,Bécasseau de Baird,Calidris bairdii,BASA,1
,Little Stint,Bécasseau minute,Calidris minuta,LIST,4
,Least Sandpiper,Bécasseau minuscule,Calidris minutilla,LESA,1
,White-rumped Sandpiper,Bécasseau à croupion blanc,Calidris fuscicollis,WRSA,1
,Buff-breasted Sandpiper,Bécasseau roussâtre,Calidris subruficollis,BBSA,1
,Pectoral Sandpiper,Bécasseau à poitrine cendrée,Calidris melanotos,PESA,1
,Semipalmated Sandpiper,Bécasseau semipalmé,Calidris pusilla,SESA,1
,Western Sandpiper,Bécasseau d'Alaska,Calidris mauri,WESA,1
,Short-billed Dowitcher,Bécassin roux,Limnodromus griseus,SBDO,1
,Long-billed Dowitcher,Bécassin à long bec,Limnodromus scolopaceus,LBDO,1
,Jack Snipe,Bécassine sourde,Lymnocryptes minimus,JASN,4
,Eurasian Woodcock,Bécasse des bois,Scolopax rusticola,EUWO,5
,American Woodcock,Bécasse d'Amérique,Scolopax minor,AMWO,1
,Solitary Snipe,Bécassine solitaire,Gallinago solitaria,SOSN,5
,Pin-tailed Snipe,Bécassine à queue pointue,Gallinago stenura,PTSN,5
,Common Snipe,Bécassine des marais,Gallinago gallinago,COSN,3
,Wilson's Snipe,Bécassine de Wilson,Gallinago delicata,WISN,1
,Terek Sandpiper,Chevalier bargette,Xenus cinereus,TESA,3
,Common Sandpiper,Chevalier guignette,Actitis hypoleucos,COSA,3
,Spotted Sandpiper,Chevalier grivelé,Actitis macularius,SPSA,1
,Green Sandpiper,Chevalier cul-blanc,Tringa ochropus,GRSA,4
,Solitary Sandpiper,Chevalier solitaire,Tringa solitaria,SOSA,1
,Gray-tailed Tattler,Chevalier de Sibérie,Tringa brevipes,GTTA,3
,Wandering Tattler,Chevalier errant,Tringa incana,WATA,1
,Lesser Yellowlegs,Petit Chevalier,Tringa flavipes,LEYE,1
,Willet,Chevalier semipalmé,Tringa semipalmata,WILL,1
,Spotted Redshank,Chevalier arlequin,Tringa erythropus,SPRE,4
,Common Greenshank,Chevalier aboyeur,Tringa nebularia,COMG,3
,Greater Yellowlegs,Grand Chevalier,Tringa melanoleuca,GRYE,1
,Common Redshank,Chevalier gambette,Tringa totanus,CREH,4
,Wood Sandpiper,Chevalier sylvain,Tringa glareola,WOSA,2
,Marsh Sandpiper,Chevalier stagnatile,Tringa stagnatilis,MASA,4
,Wilson's Phalarope,Phalarope de Wilson,Phalaropus tricolor,WIPH,1
,Red-necked Phalarope,Phalarope à bec étroit,Phalaropus lobatus,RNPH,1
,Red Phalarope,Phalarope à bec large,Phalaropus fulicarius,REPH,1
Pratincoles (Glareolidae),,,,,
,Oriental Pratincole,Glaréole orientale,Glareola maldivarum,ORPR,5
Skuas and Jaegers (Stercorariidae),,,,,
,Great Skua,Grand Labbe,Stercorarius skua,GRSK,3
,South Polar Skua,Labbe de McCormick,Stercorarius maccormicki,SPSK,2
,Pomarine Jaeger,Labbe pomarin,Stercorarius pomarinus,POJA,1
,Parasitic Jaeger,Labbe parasite,Stercorarius parasiticus,PAJA,1
,Long-tailed Jaeger,Labbe à longue queue,Stercorarius longicaudus,LTJA,1
"Auks, Murres, and Puffins (Alcidae)",,,,,
,Dovekie,Mergule nain,Alle alle,DOVE,2
,Common Murre,Guillemot marmette,Uria aalge,COMU,1
,Thick-billed Murre,Guillemot de Brünnich,Uria lomvia,TBMU,1
,Razorbill,Petit Pingouin,Alca torda,RAZO,1
,Great Auk,Grand Pingouin,Pinguinus impennis,GRAU,6
,Black Guillemot,Guillemot à miroir,Cepphus grylle,BLGU,1
,Pigeon Guillemot,Guillemot colombin,Cepphus columba,PIGU,1
,Long-billed Murrelet,Guillemot à long bec,Brachyramphus perdix,LBMU,3
,Marbled Murrelet,Guillemot marbré,Brachyramphus marmoratus,MAMU,1
,Kittlitz's Murrelet,Guillemot de Kittlitz,Brachyramphus brevirostris,KIMU,2
,Scripps's Murrelet,Guillemot de Scripps,Synthliboramphus scrippsi,SCMU,2
,Guadalupe Murrelet,Guillemot de Xantus,Synthliboramphus hypoleucus,GUMU,3
,Craveri's Murrelet,Guillemot de Craveri,Synthliboramphus craveri,CRMU,3
,Ancient Murrelet,Guillemot à cou blanc,Synthliboramphus antiquus,ANMU,2
,Cassin's Auklet,Starique de Cassin,Ptychoramphus aleuticus,CAAU,1
,Parakeet Auklet,Starique perroquet,Aethia psittacula,PAAU,2
,Least Auklet,Starique minuscule,Aethia pusilla,LEAU,2
,Whiskered Auklet,Starique pygmée,Aethia pygmaea,WHAU,2
,Crested Auklet,Starique cristatelle,Aethia cristatella,CRAU,2
,Rhinoceros Auklet,Macareux rhinocéros,Cerorhinca monocerata,RHAU,1
,Atlantic Puffin,Macareux moine,Fratercula arctica,ATPU,1
,Horned Puffin,Macareux cornu,Fratercula corniculata,HOPU,1
,Tufted Puffin,Macareux huppé,Fratercula cirrhata,TUPU,1
"Gulls, Terns, and Skimmers (Laridae)",,,,,
,Swallow-tailed Gull,Mouette à queue fourchue,Creagrus furcatus,STGU,5
,Black-legged Kittiwake,Mouette tridactyle,Rissa tridactyla,BLKI,1
,Red-legged Kittiwake,Mouette des brumes,Rissa brevirostris,RLKI,2
,Ivory Gull,Mouette blanche,Pagophila eburnea,IVGU,3
,Sabine's Gull,Mouette de Sabine,Xema sabini,SAGU,1
,Bonaparte's Gull,Mouette de Bonaparte,Chroicocephalus philadelphia,BOGU,1
,Gray-hooded Gull,Mouette à tête grise,Chroicocephalus cirrocephalus,GHGU,5
,Black-headed Gull,Mouette rieuse,Chroicocephalus ridibundus,BHGU,2
,Little Gull,Mouette pygmée,Hydrocoloeus minutus,LIGU,2
,Ross's Gull,Mouette rosée,Rhodostethia rosea,ROGU,3
,Laughing Gull,Mouette atricille,Leucophaeus atricilla,LAGU,1
,Franklin's Gull,Mouette de Franklin,Leucophaeus pipixcan,FRGU,1
,Pallas's Gull,Goéland ichthyaète,Ichthyaetus ichthyaetus,PAGU,5
,Belcher's Gull,Goéland siméon,Larus belcheri,BEGU,5
,Black-tailed Gull,Goéland à queue noire,Larus crassirostris,BTGU,4
,Heermann's Gull,Goéland de Heermann,Larus heermanni,HEEG,1
,Mew Gull,Goéland cendré,Larus canus,MEGU,1
,Ring-billed Gull,Goéland à bec cerclé,Larus delawarensis,RBGU,1
,Western Gull,Goéland d'Audubon,Larus occidentalis,WEGU,1
,Yellow-footed Gull,Goéland de Cortez,Larus livens,YFGU,3
,California Gull,Goéland de Californie,Larus californicus,CAGU,1
,Herring Gull,Goéland argenté,Larus argentatus,HERG,1
,Yellow-legged Gull,Goéland leucophée,Larus michahellis,YLGU,4
,Iceland Gull,Goéland arctique,Larus glaucoides,ICGU,1
,Lesser Black-backed Gull,Goéland brun,Larus fuscus,LBBG,2
,Slaty-backed Gull,Goéland à manteau ardoisé,Larus schistisagus,SBGU,3
,Glaucous-winged Gull,Goéland à ailes grises,Larus glaucescens,GWGU,1
