,hotspot_id,lon,lat
0,L8838283,-84.3855935,33.9941903
1,L1184986,-89.34474709999998,41.8796267
2,L1051977,-73.36747170000002,44.1489568
3,L2626716,-122.84040929999999,45.735062299999996
4,L575194,-72.5241262,42.5906576
5,L925049,-76.63003559999999,39.32115
6,L469568,-70.8322906,42.048974
7,L455966,-73.20213829999999,41.7388186
8,L2724025,-77.32081170000002,41.0687073
9,L483019,-75.47727579999999,39.2684108
10,L196528,-77.295757,39.192365
11,L773790,-80.66762920000002,26.8250665
12,L810042,-118.48467350000001,35.6511764
13,L349214,-72.8010964,42.5316362
14,L456128,-71.2323314,42.4274305
15,L2141998,-70.732427,42.16
16,L505437,-75.88151690000002,42.1781776
17,L166279,-82.55752,35.633465
18,L868545,-97.6260138,30.538219800000004
19,L977822,-75.61614990000002,40.544852299999995
20,L1291942,-113.66622450000001,48.7890398
21,L816730,-75.7254553,40.5494992
22,L416759,-83.66758349999998,41.6785534
23,L1899705,-83.5327661,35.9586892
24,L4379056,-98.6807978,29.294689299999998
25,L1529215,-79.4206883,41.679938799999995
26,L1152917,-80.27821540000002,33.516567200000004
27,L2240252,-120.4336739,39.8322605
28,L1396745,-72.4379816,41.7200254
29,L1420675,-94.6524893,42.462994
30,L1598728,-86.966043,45.914334000000004
31,L3670280,-107.86838290000001,37.2999339
32,L207377,-70.2768735,41.6345887
33,L635901,-74.1605043,40.52766389999999
34,L3590803,-96.2174892,42.3570851
35,L1019388,-123.03327079999998,45.0055628
36,L341510,-74.34919000000002,39.4218976
37,L462872,-80.10020259999997,38.2130299
38,L7676135,-89.9543972,30.2781896
39,L838348,-73.147552,40.713842
40,L654165,-84.0927887,39.804513899999996
41,L928015,-99.0690637,29.742134399999998
42,L373858,-124.2279804,40.6452196
43,L874307,-85.7449865,43.2169364
44,L1764908,-121.96148149999999,37.4334652
45,L2382110,-85.0050402,42.379822999999995
46,L901738,-76.4503813,42.4749141
47,L159716,-88.2983,44.155
48,L417475,-76.88262459999999,38.0173645
49,L742986,-123.0362105,44.013404200000004
50,L895598,-97.439273,26.087486600000002
51,L824183,-74.146986,44.326734
52,L486255,-70.3623676,43.4441328
53,L1864571,-117.0879707,33.8361346
54,L4024527,-74.38979029999999,40.3871574
55,L450623,-75.9085891,42.298505299999995
56,L2773556,-106.6873097,34.9768455
57,L769958,-72.5179496,43.6307529
58,L11602866,-87.8950071,42.4901925
59,L470550,-117.0872426,32.5426167
60,L967698,-109.4577098,34.040142700000004
61,L8335191,-80.3347564,25.4644174
62,L9946491,-121.2256995,38.6783478
63,L393316,-94.68978879999999,34.134257500000004
64,L278588,-116.309793,33.836985999999996
65,L4526148,-73.796317,41.6533281
66,L1892725,-82.0131039,33.4603813
67,L505863,-72.2843903,40.9085302
68,L159335,-77.0414,38.7918
69,L502919,-76.6922522,38.7078503
70,L127448,-81.76739930000002,24.557194199999998
71,L292411,-121.99340819999999,47.8162308
72,L207365,-70.6568931,42.5841153
73,L189604,-76.46149399999999,38.93302
74,L1032818,-73.79430500000002,40.86612589999999
75,L1110419,-117.92209629999999,35.778341
76,L2334202,-106.704051,42.56344770000001
77,L294837,-78.04496309999998,42.58125310000001
78,L1206487,-87.5118542,44.22127620000001
79,L5629742,-74.2384279,42.9530146
80,L978819,-114.088726,40.7338605
81,L1136960,-120.9624338,39.95031270000001
82,L756566,-83.0075118,39.9487468
83,L697346,-86.41090390000002,39.2629618
84,L1055329,-71.4830589,42.375919700000004
85,L1586823,-110.6086395,32.153480699999996
86,L598874,-94.3238068,38.9874346
87,L790557,-83.6083603,32.8175391
88,L148723,-86.1544952,30.3269272
89,L150986,-92.574585,44.048904
90,L889655,-97.0428348,28.0502717
91,L5290811,-121.922721,37.334031599999996
92,L9677609,-73.9907962,40.72877310000001
93,L5122393,-73.9521503,40.9762734
94,L168043,-76.670654,42.228996
95,L3060112,-75.88477309999998,40.2942075
96,L2758407,-86.1422968,39.6284987
97,L1510888,-78.30851779999998,36.59370120000001
98,L4570800,-113.94823400000001,46.920305
99,L453705,-77.0571345,39.23808270000001
100,L1516171,-80.19215140000001,41.158437899999996
101,L2826351,-90.62965390000001,42.4497448
102,L127186,-92.3511,34.7952
103,L669113,-81.4524651,28.372975099999998
104,L280878,-98.0017376,30.517980699999995
105,L480306,-122.4809933,48.4881122
106,L1603504,-122.97373929999999,47.3746593
107,L2732436,-118.465147,46.041663299999996
108,L624405,-73.1397521,40.844593100000004
109,L2276582,-75.7206488,35.20234179999999
110,L10095665,-80.718313,32.393679999999996
111,L7423498,-76.51926040000002,40.051111999999996
112,L3814242,-87.4999988,39.6025305
113,L282688,-77.51722099999998,39.15521500000001
114,L1355060,-86.25092790000002,43.058989200000006
115,L2440827,-81.51448,28.371344
116,L127442,-80.985589,24.7421075
117,L1398386,-86.90987209999999,36.0653196
118,L391767,-121.8406105,37.6692148
119,L558192,-79.7995377,32.804879
120,L10874116,-73.9983956,40.4670489
121,L2505778,-85.2372551,42.61633870000001
122,L242189,-122.446549,37.6682213
123,L473466,-70.4656219,41.7588919
124,L131170,-90.0666656,35.26388929999999
125,L353557,-111.7281675,40.6974942
126,L2280932,-83.6237562,44.4349596
127,L514993,-80.6219673,35.3653958
128,L338988,-121.8681622,37.46084860000001
129,L416629,-83.454895,35.64613720000001
130,L7951099,-81.98018959999997,26.904567999999998
131,L1342691,-80.81243640000002,32.1391783
132,L3886483,-90.0705957,30.030191
133,L1343196,-81.5424166,41.006210100000004
134,L2918630,-81.7133689,30.185496
135,L639359,-79.544363,35.0135486
136,L715366,-88.79631040000002,33.2774446
137,L664129,-76.9942474,40.4232979
138,L4415110,-76.45047120000002,42.4756341
139,L690559,-104.8784494,39.09030070000001
140,L286492,-81.1781985,41.44327
141,L1078817,-81.9754958,33.4871155
142,L2205740,-78.81071850000002,35.8332876
143,L274846,-106.7984207,32.2956722
144,L5575886,-71.8572924,41.0721872
145,L8508400,-75.0040603,40.748974
146,L761484,-118.3564639,34.06393
147,L1043783,-92.3241878,38.9273658
148,L799323,-106.3574409,34.9857063
149,L565274,-120.6762314,38.0148287
150,L278720,-106.1226013,32.807442
151,L1173559,-95.344162,45.9979156
152,L7072367,-70.81197829999998,44.4198485
153,L735899,-75.11102340000002,40.9993797
154,L763337,-75.9747505,38.68386829999999
155,L1769227,-81.8587875,41.3582442
156,L3307712,-76.442432,40.4855393
157,L468516,-122.0899487,37.9772213
158,L1151898,-83.13836490000001,39.9052157
159,L506014,-82.0822906,41.11117539999999
160,L7724277,-86.1307,39.9533
161,L1843920,-82.4675176,27.1135693
162,L764383,-87.2407833,30.3188
163,L1293707,-80.04157679999999,26.5843827
164,L340779,-104.95048,39.749210999999995
165,L144527,-79.4274979,39.0236092
166,L1463408,-111.91195249999998,41.7905288
167,L835470,-119.3125534,46.2771185
168,L3563611,-74.5370644,41.5158349
169,L5804474,-77.2173952,39.8140702
170,L453173,-91.69598,41.788779999999996
171,L2575098,-88.29321379999998,34.5825694
172,L761748,-76.78688050000002,38.845189399999995
173,L631027,-76.490078,37.4033351
174,L689527,-110.81139409999999,32.3131068
175,L688407,-79.9077702,40.4311383
176,L367562,-122.7762938,47.119825799999994
177,L1472874,-80.3103202,36.1015598
178,L953937,-118.870406,42.924438
179,L503189,-111.89716820000001,39.910180600000004
180,L992450,-74.0632981,41.4268168
181,L691811,-79.0153348,35.79888010000001
182,L5766699,-92.9999757,44.8966502
183,L469786,-71.0202599,42.36590070000001
184,L686916,-95.10797740000001,43.500207700000004
185,L1758760,-87.6988232,42.0575724
186,L3563912,-95.1320132,29.0672883
187,L4725875,-84.0470667,41.8917346
188,L802199,-117.08340700000001,32.6418097
189,L828021,-122.495842,38.1145705
190,L159397,-78.5169,38.3806
191,L1211133,-71.2005901,42.3272427
192,L283368,-105.1940601,40.025557899999995
193,L503409,-111.70896289999999,38.5534011
194,L2734091,-123.0506945,47.371255
195,L130994,-87.5272446,41.6878052
196,L2352601,-79.31982990000002,42.4978458
197,L776828,-85.4087448,44.4200037
198,L384202,-116.94002150000001,34.039467
199,L1870482,-88.7645035,30.3606642
200,L523536,-73.129769,40.834463299999996
201,L245447,-110.8727628,32.2605631
202,L280564,-73.3305955,41.115780900000004
203,L4292598,-122.3027551,47.480886100000006
204,L1335778,-105.8561179,46.3929125
205,L4400453,-82.6779646,27.4972082
206,L1264134,-75.0329036,39.35303560000001
207,L2107197,-79.9253264,32.7774289
208,L128913,-103.26635259999999,29.216651000000002
209,L2715917,-86.8856335,39.575593299999994
210,L2750024,-83.97407199999998,35.929248799999996
211,L1396701,-73.9511925,41.868479799999996
212,L159333,-78.299184,36.6015291
213,L977728,-112.3748186,33.3865163
214,L229395,-89.05634859999998,30.380720500000002
215,L1133761,-106.0736418,38.5124115
216,L353655,-111.86450959999999,40.804649299999994
217,L4875033,-74.96528509999997,39.5387506
218,L127408,-80.2246141,26.498644199999998
219,L367854,-93.30654140000001,44.954503499999994
220,L342746,-94.0791917,36.8944722
221,L775274,-119.55459590000001,36.145776399999995
222,L761123,-70.67631479999999,41.52302150000001
223,L800055,-77.6689625,42.9002384
224,L1092972,-75.8834267,42.1604768
225,L4992178,-75.0956329,40.3954607
226,L9511086,-134.5081945,58.3552939
